feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,id,label
-485.99273681640625,50.111820220947266,8.837244033813477,9.50042724609375,1.9732224941253662,2.5339670181274414,-6.811783790588379,1.5878607034683228,-4.828946590423584,-3.5663483142852783,-2.6805975437164307,-2.6837210655212402,-2.37648868560791,0.458705335855484,0.4112595021724701,0.4107637405395508,0.3850703537464142,0.36657851934432983,0.3657967746257782,0.386049747467041,0.43167632818222046,0.4881340265274048,0.45093706250190735,0.3955089747905731,0.4193602502346039,16.695766243577527,14.350628137715406,17.35903019933009,17.630617248732907,18.583573704265362,18.075463048288736,16.675981752425535,audio_1261,1.0
-418.86236572265625,24.498125076293945,0.9830818176269531,3.5775399208068848,-11.690800666809082,-2.4841387271881104,-9.580397605895996,-0.9411477446556091,-7.578836441040039,1.941514492034912,-4.787621974945068,-2.9341518878936768,-6.141342639923096,0.32546767592430115,0.3013554513454437,0.24270164966583252,0.20001094043254852,0.2520429790019989,0.34333139657974243,0.29205700755119324,0.2714610993862152,0.2397632747888565,0.2387724220752716,0.2942967712879181,0.3471243679523468,16.49503135937912,16.71344677051173,18.679694983791588,20.099675768079585,17.86192668980829,17.801882814106257,19.250162115467283,audio_942,1.5
-468.6219787597656,55.773441314697266,-6.867956161499023,12.415867805480957,2.65712571144104,-3.901441812515259,-1.9497621059417725,-3.6276326179504395,-3.994594097137451,0.6766661405563354,-5.172699928283691,-3.183967351913452,-2.6956119537353516,0.4299700856208801,0.46307826042175293,0.42084941267967224,0.3826127350330353,0.4003846347332001,0.4398914873600006,0.4917021691799164,0.5619889497756958,0.5507003664970398,0.5381948351860046,0.5390225648880005,0.49882885813713074,19.035255211251716,14.351624610598737,16.60866047760124,16.15257713330713,16.687587853422755,18.702743011960507,15.731225597546642,audio_1110,1.5
-395.9757385253906,83.7068862915039,-9.338621139526367,22.24230194091797,2.2238309383392334,-4.640109539031982,0.9915089011192322,-5.542060375213623,-6.253079414367676,-0.2318061888217926,-7.615920543670654,-4.440738201141357,-7.5869879722595215,0.3600861728191376,0.3329481780529022,0.3050502836704254,0.2743878960609436,0.3001174330711365,0.32725104689598083,0.37189871072769165,0.4505991041660309,0.5021142959594727,0.43608546257019043,0.43853339552879333,0.3950234651565552,22.60802822005333,15.916210041009137,18.098334047703403,17.068336116646854,17.868670491921144,21.782627701483392,16.625503781883058,audio_1024,1.5
-300.1506652832031,104.44230651855469,-19.612241744995117,7.22163200378418,-6.562625885009766,-9.136394500732422,-10.110366821289062,-10.232144355773926,-5.13183069229126,-7.595556259155273,-0.8038453459739685,-4.4980854988098145,-4.217596054077148,0.5372107028961182,0.4815382957458496,0.3900533616542816,0.37216082215309143,0.3740387558937073,0.2866043746471405,0.30462032556533813,0.3478357195854187,0.3169002830982208,0.27828672528266907,0.2962891161441803,0.4160231053829193,17.225132536536318,16.097057463016533,18.04427190957988,16.133826000154865,18.48142140111905,22.895864666293825,18.677242133927763,audio_538,2.0
-342.4446105957031,110.13591766357422,15.134085655212402,27.9262638092041,1.037509560585022,1.405152678489685,-12.07575798034668,-14.256250381469727,-6.589837551116943,-9.84992790222168,-3.3497891426086426,-7.33297872543335,-6.594509124755859,0.4262455105781555,0.3894031047821045,0.31380611658096313,0.2691161036491394,0.2597111463546753,0.24553655087947845,0.25087347626686096,0.287474662065506,0.3703615665435791,0.4679224491119385,0.49064669013023376,0.48189887404441833,23.347191365561706,16.071445223477575,19.916199329109002,17.542087415622927,19.43846624622336,23.908830574429043,19.655775764778614,audio_350,2.5
-409.6798400878906,79.64823150634766,16.969114303588867,5.788883686065674,13.616870880126953,12.6666898727417,2.7447662353515625,-8.048543930053711,-4.138662338256836,1.5646363496780396,-5.154645919799805,-6.254695415496826,-2.6234235763549805,0.5010679364204407,0.5551819205284119,0.4132150411605835,0.33615073561668396,0.31956541538238525,0.30590206384658813,0.28759974241256714,0.25585946440696716,0.24257789552211761,0.2649872601032257,0.2974587380886078,0.3437548875808716,21.606322654378,15.42196730903232,18.884085332305915,18.54807933021696,19.33890071005564,20.77600896462455,18.64864335130513,audio_64,2.0
-388.6758728027344,119.64605712890625,25.597888946533203,3.220827579498291,8.227936744689941,2.073174476623535,8.47358512878418,16.030853271484375,3.617668390274048,-3.053877115249634,5.612014293670654,10.042903900146484,3.8844518661499023,0.41243308782577515,0.44666925072669983,0.4325748085975647,0.394008070230484,0.4021763205528259,0.48022225499153137,0.5133979916572571,0.42878633737564087,0.3468562662601471,0.3281489312648773,0.32330965995788574,0.3385697603225708,22.93794467831461,16.61772980092144,21.182771901962873,26.482468690972457,25.95389101205542,21.553672821977283,13.710177524537764,audio_252,2.0
-398.42626953125,48.36036682128906,10.747953414916992,18.501426696777344,-11.054338455200195,-9.479747772216797,-11.63615894317627,-5.4378204345703125,-11.778898239135742,-4.008127212524414,-7.503573894500732,-7.193909645080566,-2.1517012119293213,0.37864866852760315,0.34894752502441406,0.3430607318878174,0.3476434350013733,0.33354082703590393,0.3208906650543213,0.36291059851646423,0.5205376744270325,0.5491443276405334,0.45830589532852173,0.3991250991821289,0.39266490936279297,20.672634370761795,15.331481245220848,18.60458405272558,17.596376527873417,20.316646904197082,20.024055527942075,21.1561763732235,audio_1304,2.0
-361.5382995605469,68.73541259765625,-13.983569145202637,12.675946235656738,-9.18561840057373,-8.485723495483398,-20.678865432739258,-11.382567405700684,2.1038382053375244,-9.379878997802734,6.069671154022217,-7.8667097091674805,-3.3248631954193115,0.3558284342288971,0.35880282521247864,0.38170677423477173,0.4088527262210846,0.4392072558403015,0.4397558867931366,0.4263380169868469,0.39825305342674255,0.36496543884277344,0.3099246621131897,0.29287946224212646,0.3500809073448181,21.74458498844718,18.076919774708657,20.97231805107892,19.42887282932866,20.6064392966938,23.578897282712262,19.725078069011232,audio_1230,2.5
